,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL,AAPL,AMZN,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,167.70188903808594,1189.010009765625,181.4199981689453,1073.2099609375,172.25999450683594,1189.010009765625,181.4199981689453,1073.2099609375,172.3000030517578,1190.0,181.5800018310547,1075.97998046875,169.25999450683594,1170.510009765625,177.5500030517578,1053.02001953125,170.16000366210938,1172.0,177.67999267578125,1053.02001953125,25555900,2694500,18151900,1588300
2018-01-03,167.67266845703125,1204.199951171875,184.6699981689453,1091.52001953125,172.22999572753906,1204.199951171875,184.6699981689453,1091.52001953125,174.5500030517578,1205.489990234375,184.77999877929688,1096.0999755859375,171.9600067138672,1188.300048828125,181.3300018310547,1073.4300537109375,172.52999877929688,1188.300048828125,181.8800048828125,1073.9300537109375,29517900,3108800,16886600,1565900
2018-01-04,168.45150756835938,1209.5899658203125,184.3300018310547,1095.760009765625,173.02999877929688,1209.5899658203125,184.3300018310547,1095.760009765625,173.47000122070312,1215.8699951171875,186.2100067138672,1104.0799560546875,172.0800018310547,1204.6600341796875,184.10000610351562,1094.260009765625,172.5399932861328,1205.0,184.89999389648438,1097.0899658203125,22434600,3022100,13880900,1302600
2018-01-05,170.369384765625,1229.1400146484375,186.85000610351562,1110.2900390625,175.0,1229.1400146484375,186.85000610351562,1110.2900390625,175.3699951171875,1229.1400146484375,186.89999389648438,1113.5799560546875,173.0500030517578,1210.0,184.92999267578125,1101.800048828125,173.44000244140625,1217.510009765625,185.58999633789062,1103.449951171875,23660000,3544700,13574500,1512500
2018-01-08,169.73658752441406,1246.8699951171875,188.27999877929688,1114.2099609375,174.35000610351562,1246.8699951171875,188.27999877929688,1114.2099609375,175.61000061035156,1253.0799560546875,188.89999389648438,1119.1600341796875,173.92999267578125,1232.030029296875,186.3300018310547,1110.0,174.35000610351562,1236.0,187.1999969482422,1111.0,20567800,4279500,17994700,1232200
2018-01-09,169.7171173095703,1252.699951171875,187.8699951171875,1112.7900390625,174.3300018310547,1252.699951171875,187.8699951171875,1112.7900390625,175.05999755859375,1259.3299560546875,188.8000030517578,1118.43994140625,173.41000366210938,1241.760009765625,187.10000610351562,1108.199951171875,174.5500030517578,1256.9000244140625,188.6999969482422,1118.43994140625,21584000,3661300,12393100,1340400
2018-01-10,169.67816162109375,1254.3299560546875,187.83999633789062,1110.1400146484375,174.2899932861328,1254.3299560546875,187.83999633789062,1110.1400146484375,174.3000030517578,1254.3299560546875,187.88999938964844,1112.780029296875,173.0,1237.22998046875,185.6300048828125,1103.97998046875,173.16000366210938,1245.1500244140625,186.94000244140625,1107.0,23959900,2686000,10529900,1036700
2018-01-11,170.6419677734375,1276.6800537109375,187.77000427246094,1112.050048828125,175.27999877929688,1276.6800537109375,187.77000427246094,1112.050048828125,175.49000549316406,1276.77001953125,188.39999389648438,1114.8499755859375,174.49000549316406,1256.4599609375,187.3800048828125,1106.47998046875,174.58999633789062,1259.739990234375,188.39999389648438,1112.31005859375,18667700,3125000,9588600,1121200
